City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
272,dabeiba,7.0017,-76.2672,297.74,97,100,1.18,CO,1693453728
273,northam,51.0333,-4.2167,286.29,91,100,4.14,GB,1693453728
274,port elizabeth,-33.918,25.5701,287.31,67,0,2.06,ZA,1693453728
275,ketchikan,55.3422,-131.6461,288.41,94,100,2.57,US,1693453649
276,saldanha,-33.0117,17.9442,287.18,88,93,4.17,ZA,1693453728
277,dukhovnitskoye,52.4828,48.2137,288.17,61,11,4.32,RU,1693453729
278,labytnangi,66.6572,66.4183,285.3,64,99,6.26,RU,1693453729
279,bonthe,7.5264,-12.505,297.09,91,84,1.3,SL,1693453729
280,mega,4.05,38.3,286.51,88,68,6.24,ET,1693453729
281,mohr,54.3528,9.7167,286.23,93,75,3.13,DE,1693453730
282,taro,-8.3862,115.28,297.15,52,15,1.81,ID,1693453730
283,kerikeri,-35.2268,173.9474,287.01,71,3,2.72,NZ,1693453730
284,ishigaki,24.3448,124.1572,305.22,74,75,4.12,JP,1693453730
285,itoman,26.1247,127.6694,306.36,66,40,5.66,JP,1693453731
286,wenchang,30.904,118.4887,298.9,72,100,3.95,CN,1693453731
287,mountain home,43.133,-115.6912,292.86,32,0,3.6,US,1693453692
288,lorengau,-2.0226,147.2712,300.9,83,66,4.66,PG,1693453731
289,paracuru,-3.41,-39.0306,300.43,80,26,5.59,BR,1693453732
290,calca,-13.3333,-71.95,282.79,75,36,1.18,PE,1693453732
291,hawaiian paradise park,19.5933,-154.9731,298.88,89,100,1.54,US,1693453732
292,oltinko'l,40.8011,72.1634,299.71,34,78,2.08,UZ,1693453732
293,santa ana de yacuma,-13.75,-65.4333,302.8,40,18,2.85,BO,1693453733
294,kailua-kona,19.6406,-155.9956,302.19,77,75,2.57,US,1693453733
295,guerrero negro,27.9769,-114.0611,296.99,72,100,4.17,MX,1693453733
296,borodulikha,50.7184,80.9295,296.61,37,89,7.69,KZ,1693453733
297,klyuchi,52.2667,79.1667,293.67,39,100,4.4,RU,1693453734
298,hwange,-18.3693,26.5019,286.27,56,0,1.05,ZW,1693453734
299,south hedland,-20.4089,118.5983,308.11,8,7,7.2,AU,1693453734
300,el granada,37.5027,-122.4694,299.0,80,20,7.72,US,1693453734
301,minas de marcona,-15.2119,-75.1103,286.0,87,63,3.82,PE,1693453735
302,daru,-9.0763,143.2092,299.01,63,23,4.86,PG,1693453735
303,katutura,-22.521,17.0557,289.21,43,0,1.54,NA,1693453735
304,rosetta,31.4044,30.4164,299.32,79,0,3.77,EG,1693453735
305,kantagi,43.5264,68.5775,289.21,45,0,3.76,KZ,1693453736
306,bridgewater,44.3835,-64.5155,293.21,96,100,4.63,CA,1693453656
307,pekalongan,-6.8886,109.6753,304.27,56,30,2.94,ID,1693453736
308,rio guayabal de yateras,20.3667,-75.0167,296.95,91,100,1.0,CU,1693453737
309,hirtshals,57.5881,9.9592,286.88,85,39,4.19,DK,1693453737
310,crane,31.3974,-102.3501,302.37,28,0,0.52,US,1693453738
311,dzuunharaa,48.8523,106.4579,294.87,54,19,1.97,MN,1693453738
312,port alfred,-33.5906,26.891,295.72,31,0,6.62,ZA,1693453738
313,bengkulu,-3.8004,102.2655,301.24,70,100,4.27,ID,1693453738
314,aras-asan,8.8908,126.3033,304.31,63,38,2.26,PH,1693453739
315,guane,22.2025,-84.0875,300.14,90,37,2.79,CU,1693453739
316,alice springs,-23.7,133.8833,293.9,30,0,3.6,AU,1693453739
317,san andres,12.5847,-81.7006,303.16,79,20,3.6,CO,1693453624
318,rabo de peixe,37.8,-25.5833,294.88,83,20,1.54,PT,1693453740
319,balzar,-1.3667,-79.9,298.07,79,94,1.92,EC,1693453740
320,quevedo,-1.0333,-79.45,297.72,89,62,1.77,EC,1693453740
321,bathurst,-33.4166,149.5806,289.8,54,16,1.79,AU,1693453740
322,ust'-barguzin,53.45,108.9833,295.09,46,97,0.46,RU,1693453740
323,mkuranga,-7.118,39.2078,294.68,91,63,1.97,TZ,1693453741
324,greymouth,-42.4667,171.2,284.12,70,39,0.72,NZ,1693453741
325,callao,-12.0667,-77.15,292.99,82,100,6.69,PE,1693453741
326,langxiang,46.95,128.8833,291.59,69,91,3.6,CN,1693453742
327,san patricio,28.017,-97.5169,304.01,48,53,4.08,US,1693453742
328,mount pearl,47.5166,-52.7813,295.34,95,100,8.75,CA,1693453742
329,la plata,-34.9215,-57.9545,287.49,82,100,2.29,AR,1693453574
330,mhamid,29.82,-5.72,301.7,17,0,6.01,MA,1693453743
331,mingyue,43.1069,128.9217,297.45,49,62,1.64,CN,1693453744
332,hasaki,35.7333,140.8333,309.43,73,83,6.43,JP,1693453744
333,bikenibeu village,1.3673,173.1241,305.13,70,40,1.03,KI,1693453744
334,vila franca do campo,37.7167,-25.4333,295.38,79,40,0.61,PT,1693453744
335,meihekou,42.5272,125.6753,295.91,64,0,4.27,CN,1693453745
336,rikaze,29.25,88.8833,292.13,41,5,0.79,CN,1693453745
337,kapuskasing,49.4169,-82.4331,288.2,82,40,3.6,CA,1693453621
338,debre werk',10.6667,38.1667,284.78,84,31,1.42,ET,1693453746
339,portland,45.5234,-122.6762,296.12,68,75,2.24,US,1693453746
340,taroa,8.7058,171.2275,301.56,78,96,5.24,MH,1693453747
341,upper grand lagoon,30.1633,-85.7408,300.38,92,0,2.06,US,1693453747
342,nantucket,41.2835,-70.0995,294.21,96,0,3.09,US,1693453578
343,nuuk,64.1835,-51.7216,278.08,86,100,7.15,GL,1693453480
